	Gene.names	Protein.IDs	Intensity.01	Intensity.02	Intensity.03	Intensity.04	Intensity.05	Intensity.06	Intensity.07	Intensity.08	Intensity.09	Intensity.10	Intensity.11	Intensity.12	Intensity.13	Intensity.14	Intensity.15
757	NIF3	P53081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23597000.0	0.0
758	ARO8	P53090	86257000.0	26576000.0	133880000.0	79773000.0	13735000.0	48507000.0	36925000.0	22756000.0	47514000.0	173060000.0	89622000.0	125290000.0	34858000.0	198050000.0	183300000.0
759	ARI1	P53111	0.0	0.0	17928000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13339000.0	0.0
760	PRP43	P53131	22672000.0	6772700.0	123290000.0	45965000.0	23347000.0	0.0	29619000.0	6544200.0	0.0	29033000.0	13827000.0	31120000.0	21082000.0	43028000.0	63857000.0
761	MLC1	P53141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4353500.0	0.0	0.0	0.0	0.0	8347700.0	0.0	0.0
762	GUP1	P53154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19914000.0
763	MNP1	P53163	0.0	0.0	30217000.0	0.0	0.0	40339000.0	0.0	0.0	0.0	0.0	36500000.0	83056000.0	34168000.0	40398000.0	33437000.0
764	ERG26	P53199	18519000.0	0.0	192500000.0	70549000.0	33168000.0	0.0	69434000.0	0.0	41242000.0	0.0	0.0	0.0	0.0	74575000.0	109740000.0
765	EFM5	P53200	23654000.0	0.0	93878000.0	25514000.0	0.0	0.0	0.0	0.0	0.0	22859000.0	16125000.0	24809000.0	0.0	0.0	0.0
766	RPL26B	P53221	5413100000.0	6652800000.0	7994800000.0	3272100000.0	3601300000.0	3559400000.0	9422900000.0	1678000000.0	3945200000.0	6630100000.0	3557100000.0	3782500000.0	3771500000.0	3463200000.0	5555700000.0
767	YGR054W	P53235	0.0	0.0	70802000.0	0.0	14892000.0	0.0	22698000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91825000.0
768	PIL1	P53252	28531000.0	0.0	16091000.0	49863000.0	10275000.0	188230000.0	25410000.0	0.0	59332000.0	34367000.0	279380000.0	56514000.0	54633000.0	216800000.0	35118000.0
769	UTP22	P53254	0.0	0.0	28369000.0	0.0	9307800.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31019000.0
770	NOP7	P53261	24218000.0	0.0	31334000.0	0.0	0.0	0.0	0.0	0.0	0.0	20525000.0	0.0	21911000.0	0.0	31232000.0	18721000.0
771	LSB1	P53281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17162000.0	10046000.0	0.0	0.0	11008000.0	0.0
772	MRPS35	P53292	0.0	0.0	0.0	0.0	916290000.0	191840000.0	0.0	0.0	0.0	0.0	172800000.0	0.0	457250000.0	0.0	588920000.0
773	RBG2	P53295	0.0	0.0	0.0	7122600.0	5904100.0	14872000.0	0.0	0.0	0.0	0.0	4861800.0	4304600.0	20777000.0	0.0	20423000.0
774	ZPR1	P53303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23666000.0	0.0	0.0	0.0	0.0	0.0
775	RSM27	P53305	0.0	0.0	0.0	0.0	615370000.0	247980000.0	0.0	0.0	0.0	0.0	176880000.0	0.0	440720000.0	0.0	671210000.0
776	LSC2	P53312	0.0	0.0	0.0	0.0	0.0	18399000.0	28528000.0	0.0	17292000.0	0.0	0.0	0.0	0.0	0.0	0.0
777	SDA1	P53313	23273000.0	14599000.0	85211000.0	35237000.0	0.0	0.0	0.0	0.0	12852000.0	0.0	0.0	0.0	0.0	38868000.0	34591000.0
778	YGR266W	P53326	0.0	0.0	15242000.0	7983700.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4864700.0	0.0	18440000.0	0.0
